GalaxyName,S_tau_class,S_tau_proxy,LabelConfidence,LabelReason,LabelSource,IsBlindLabel,Notes
NGC4068,A,1.0,Medium,multiple external calm proxies present: bar/warp flag; near-neighbor density; group environment,residual-blind external proxy manifest v0.2,true,"RC3 type=.IA.9..; bar/intermediate-bar proxy only, not a warp flag.; Karachentsev+2013 environment proxy; Theta1=-0.5; Theta5=-0.1; Thetaj=0.50; main_disturber=NGC4736; no TPG residual fields used; source1=VizieR VII/155 RC3 morphology family proxy; source2=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
NGC4085,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXS5*$; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4088,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXT4..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4100,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=PSAT4..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4138,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.LAR+..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4157,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXS3$/; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4183,A,1.0,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: Ursa Major HI synthesis work reports only slight outer warping and later work retains it in the reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Ursa Major HI synthesis work reports only slight outer warping and later work retains it in the reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://www.aanda.org/articles/aa/pdf/2001/18/aa10469.pdf; source2=https://academic.oup.com/mnras/article/507/1/565/6335498
NGC4214,C,0.0,Medium,multiple external disturbance proxies present: bar/warp flag; group environment,residual-blind external proxy manifest v0.2,true,"RC3 type=.IXS9..; bar/intermediate-bar proxy only, not a warp flag.; Karachentsev+2013 environment proxy; Theta1=1.2; Theta5=1.2; Thetaj=-0.67; main_disturber=NGC4163; no TPG residual fields used; source1=VizieR VII/155 RC3 morphology family proxy; source2=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
NGC4217,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
NGC4389,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SBT4P*; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC4559,A,1.0,Medium,"v05_batch1_reviewer1_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.15 and low Avel=0.025, with isolated environment support; bar/intermediate proxy is not direct disturbance evidence. | v05_batch1_reviewer2_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.15 and low Avel=0.025, with isolated environment support; bar/intermediate proxy is not direct disturbance evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=low_asymmetry; source1=VizieR J/MNRAS/493/5089 Reynolds+2020 Amap; source2=VizieR J/MNRAS/493/5089 Reynolds+2020 Avel; source3=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices
NGC5005,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXT4..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC5033,B,0.5,Low,RC3 morphology context provides no direct warp flag and no direct regular-kinematic or disturbance evidence; default to B.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR VII/155 RC3 morphology family proxy"
NGC5055,C,0.0,High,"v05_blocker_resolution_reviewer1_codex_source_audit: External literature reports a stellar tidal stream around M63/NGC5055 and a highly warped HI disk, described as strong evidence of an ongoing minor merger; accept as direct tidal/warp C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External literature reports a stellar tidal stream around M63/NGC5055 and a highly warped HI disk, described as strong evidence of an ongoing minor merger; accept as direct tidal/warp C evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=tidal; source1=https://arxiv.org/abs/1109.0019; source2=https://arxiv.org/abs/1207.2115
NGC5371,B,0.5,Low,"v05_batch3_reviewer1_codex_source_audit: RC3 morphology context (SXT4) provides bar/intermediate RC3 family proxy present, but the protocol notes this proxy is not a direct warp flag and gives no direct regular-kinematic evidence; default to B. | v05_batch3_reviewer2_codex_source_audit: RC3 morphology context (SXT4) provides bar/intermediate RC3 family proxy present, but the protocol notes this proxy is not a direct warp flag and gives no direct regular-kinematic evidence; default to B.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR VII/155 RC3 morphology family proxy
NGC5585,A,1.0,Medium,"v05_batch1_reviewer1_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.13 and low Avel=0.044, with isolated environment support; bar/intermediate proxy is not direct C evidence. | v05_batch1_reviewer2_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.13 and low Avel=0.044, with isolated environment support; bar/intermediate proxy is not direct C evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=low_asymmetry; source1=VizieR J/MNRAS/493/5089 Reynolds+2020 Amap; source2=VizieR J/MNRAS/493/5089 Reynolds+2020 Avel; source3=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices
NGC5907,C,0.0,Medium,"NGC5907 literature reports a warped, somewhat disturbed gas disk; direct external HI/warp disturbance evidence, not residual-derived.",residual-blind external proxy review v0.2,true,R0 source-level literature seed; no TPG residual fields used; reviewer=codex_literature_seed_review_v03; reviewed_date=2026-05-12; source1=https://www.aanda.org/articles/aa/pdf/2015/10/aa26667-15.pdf
NGC5985,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXR3..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC6015,B,0.5,Low,RC3 morphology context provides no direct warp flag and no direct regular-kinematic or disturbance evidence; default to B.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR VII/155 RC3 morphology family proxy"
NGC6195,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
NGC6503,A,1.0,High,"DiskFit/Halpha/CO/HI work reports remarkably regular gas kinematics well described by rotation only, with no detected HI warp in the velocity-field model; direct regular-kinematic A evidence.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://academic.oup.com/mnras/article/427/3/2523/1105955; source2=https://arxiv.org/abs/1209.4653"
NGC6674,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SBR3..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
NGC6789,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Karachentsev+2013 environment proxy; Theta1=-1.3; Theta5=-0.8; main_disturber=MESSIER081; no TPG residual fields used
NGC6946,B,0.5,Medium,"Bar/intermediate-bar proxy plus group/tidal environment is not direct disturbance evidence; no source-locked HI asymmetry, velocity-field lopsidedness, or interaction flag is present in the imported layers.",residual-blind external proxy review v0.2,true,"RC3 type=.SXT6..; bar/intermediate-bar proxy only, not a warp flag.; Karachentsev+2013 environment proxy; Theta1=0.6; Theta5=1.0; Thetaj=0.41; main_disturber=UGC11583; no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12; source1=VizieR VII/155 RC3 morphology family proxy; source2=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
NGC7331,A,1.0,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: External kinematic literature describes ionized gas and stellar kinematics as regular and symmetric with respect to the centre; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External kinematic literature describes ionized gas and stellar kinematics as regular and symmetric with respect to the centre; accept as regular-kinematics A evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://research.rug.nl/en/publications/the-kinematics-of-the-bulge-and-the-disc-of-ngc-7331; source2=https://arxiv.org/abs/astro-ph/9902240
NGC7793,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SAS7..; bar/intermediate-bar proxy only, not a warp flag.; Karachentsev+2013 environment proxy; Theta1=0.2; Theta5=0.2; Thetaj=1.78; main_disturber=NGC0253; no TPG residual fields used"
NGC7814,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SAS2*/; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
PGC51017,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC00128,A,1.0,Medium,"v05_batch1_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.04, Ac=1.15), supporting a low-asymmetry A call under source-locked catalogue evidence. | v05_batch1_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.04, Ac=1.15), supporting a low-asymmetry A call under source-locked catalogue evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=low_asymmetry; source1=VizieR J/ApJS/261/21 Yu+2022 ALFALFA global HI profile asymmetry
UGC00191,A,1.0,High,"v05_batch1_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.02), directly supporting a low-asymmetry A call. | v05_batch1_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.02), directly supporting a low-asymmetry A call.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=low_asymmetry; source1=VizieR J/ApJS/261/21 Yu+2022 ALFALFA global HI profile asymmetry
UGC00634,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC00731,C,0.0,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.648; this supports a direct disturbed-HI C call, but without a second positive disturbance proxy confidence remains medium. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.648; this supports a direct disturbed-HI C call, but without a second positive disturbance proxy confidence remains medium.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC00891,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Yu+2022 global HI profile asymmetry fallback; Af=1.02; Ac=1.08; notes=1; no TPG residual fields used
UGC01230,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Yu+2022 global HI profile asymmetry fallback; Af=1.02; Ac=1.02; notes=1; no TPG residual fields used
UGC01281,C,0.0,Medium,"UGC1281 literature reports an asymmetric HI/Halpha warp already observed in WHISP data; direct external warp/asymmetry evidence, not residual-derived.",residual-blind external proxy review v0.2,true,R0 source-level literature seed; no TPG residual fields used; reviewer=codex_literature_seed_review_v03; reviewed_date=2026-05-12; source1=https://academic.oup.com/mnras/article/414/4/3444/998313; source2=https://arxiv.org/abs/1103.0699
UGC02023,C,0.0,Medium,Source-locked WHISP HI morphology reports high HI asymmetry A=0.841; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC02259,B,0.5,Low,"No source-locked direct regular-kinematic, low-asymmetry, disturbed-HI, warp, tidal, or interaction evidence was found in the residual-blind review materials; conservative v0.6 default is B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.6 residual-blind review packet and v0.5 evidence cache: no direct A/C evidence recorded"
UGC02455,C,0.0,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.673, supporting direct disturbed-HI evidence at medium confidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.673, supporting direct disturbed-HI evidence at medium confidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC02487,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; Yu+2022 global HI profile asymmetry fallback; Af=1.00; Ac=1.01; notes=1; no TPG residual fields used
UGC02885,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC02916,C,0.0,High,external interaction flag present,residual-blind external proxy manifest v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; no TPG residual fields used; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology; source2=VizieR J/A+A/442/137 WHISP interaction flag
UGC02953,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,WHISP categorical kinematical asymmetry and interaction flags.; no TPG residual fields used
UGC03205,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; no TPG residual fields used
UGC03546,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.278; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC03580,C,0.0,High,v05_batch1_reviewer1_codex_source_audit: WHISP gives high resolved HI asymmetry A=0.968 and a high kinematical lopsidedness flag; direct disturbance evidence despite interaction flag 0. | v05_batch1_reviewer2_codex_source_audit: WHISP gives high resolved HI asymmetry A=0.968 and a high kinematical lopsidedness flag; direct disturbance evidence despite interaction flag 0.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology; source2=VizieR J/A+A/442/137 WHISP kinematical asymmetry flag; source3=VizieR J/A+A/442/137 WHISP interaction flag
UGC04278,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.033; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC04305,C,0.0,High,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.092, which is strong direct disturbed-HI evidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.092, which is strong direct disturbed-HI evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC04325,C,0.0,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.925, supporting direct disturbed-HI evidence at medium confidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.925, supporting direct disturbed-HI evidence at medium confidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC04483,B,0.5,Low,"v05_batch4_reviewer1_codex_source_audit: Karachentsev+2013 provides group-environment/tidal-index context (Thetaj=1.89; main_disturber=MESSIER081), but environment alone is indirect and does not meet direct A or C evidence rules; default to B. | v05_batch4_reviewer2_codex_source_audit: Karachentsev+2013 provides group-environment/tidal-index context (Thetaj=1.89; main_disturber=MESSIER081), but environment alone is indirect and does not meet direct A or C evidence rules; default to B.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices
UGC04499,C,0.0,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.714, supporting direct disturbed-HI evidence at medium confidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.714, supporting direct disturbed-HI evidence at medium confidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC05005,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Yu+2022 global HI profile asymmetry fallback; Af=1.01; Ac=1.03; notes=1; no TPG residual fields used
UGC05253,C,0.0,High,v05_batch1_reviewer1_codex_source_audit: WHISP records a positive interaction flag together with very high resolved HI asymmetry A=1.460; this is direct source-locked disturbance evidence. | v05_batch1_reviewer2_codex_source_audit: WHISP records a positive interaction flag together with very high resolved HI asymmetry A=1.460; this is direct source-locked disturbance evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=interaction; source1=VizieR J/A+A/442/137 WHISP interaction flag; source2=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC05414,C,0.0,Medium,Source-locked WHISP HI morphology reports high HI asymmetry A=0.867; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC05716,A,1.0,High,"v05_batch1_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.00), directly supporting a low-asymmetry A call. | v05_batch1_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.00), directly supporting a low-asymmetry A call.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=low_asymmetry; source1=VizieR J/ApJS/261/21 Yu+2022 ALFALFA global HI profile asymmetry
UGC05721,B,0.5,Medium,v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI asymmetry A=0.628 is elevated but borderline as a single disturbance proxy; keep ambiguous rather than promote to C. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI asymmetry A=0.628 is elevated but borderline as a single disturbance proxy; keep ambiguous rather than promote to C.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=mixed; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC05750,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC05764,A,1.0,High,"v05_batch2_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.02, Ac=1.04), directly supporting a low-asymmetry A call. | v05_batch2_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.02, Ac=1.04), directly supporting a low-asymmetry A call.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=low_asymmetry; source1=VizieR J/ApJS/261/21 Yu+2022 ALFALFA global HI profile asymmetry
UGC05829,C,0.0,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.089, supporting direct disturbed-HI evidence; Yu profile asymmetry is low, so confidence is medium. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.089, supporting direct disturbed-HI evidence; Yu profile asymmetry is low, so confidence is medium.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology; source2=VizieR J/ApJS/261/21 Yu+2022 ALFALFA global HI profile asymmetry
UGC05918,C,0.0,High,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports extremely high HI asymmetry A=1.930, which is strong direct disturbed-HI evidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports extremely high HI asymmetry A=1.930, which is strong direct disturbed-HI evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC05986,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.130; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC05999,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC06399,B,0.5,Low,"No source-locked direct regular-kinematic, low-asymmetry, disturbed-HI, warp, tidal, or interaction evidence was found in the residual-blind review materials; conservative v0.6 default is B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.6 residual-blind review packet and v0.5 evidence cache: no direct A/C evidence recorded"
UGC06446,C,0.0,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.703, supporting direct disturbed-HI evidence at medium confidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.703, supporting direct disturbed-HI evidence at medium confidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC06614,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Yu+2022 global HI profile asymmetry fallback; Af=1.02; Ac=1.21; notes=1; no TPG residual fields used
UGC06628,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.447; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC06667,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC06786,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; Yu+2022 global HI profile asymmetry fallback; Af=1.01; Ac=1.06; notes=1; no TPG residual fields used
UGC06787,C,0.0,High,Direct source-locked disturbance evidence from WHISP: HI asymmetry=0.885711484544; interaction flag=1,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology; source2=VizieR J/A+A/442/137 WHISP interaction flag
UGC06818,C,0.0,Medium,Ursa Major rotation-curve notes identify UGC6818 as probably interacting with a faint companion on its western edge; direct interaction evidence supports C.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=interaction; source1=https://research.rug.nl/files/3208651/rotation_curves_of_UMApdf.pdf; source2=https://www.aanda.org/articles/aa/pdf/2001/18/aa10469.pdf"
